Date,Close/Last,Volume,Open,High,Low
06/29/2021,122.55,824,122.125,122.6,121.3
06/28/2021,122.1,739,123.1,123.3,121.7
06/25/2021,122.95,449,122.85,123.025,121.975
06/24/2021,122.825,601,122.5,123.1,121.75
06/23/2021,122.5,800,123.75,124.225,122.05
06/22/2021,123.1,1333,121.35,124.225,121.35
06/21/2021,120.975,1099,120.95,121.25,120.175
06/18/2021,121.05,1160,121.25,121.95,120.925
06/17/2021,120.1,2076,122.225,123.1,120
06/16/2021,122.3,1578,121.6,122.75,121.6
06/15/2021,121.225,3038,119.5,121.375,119.5
06/14/2021,119.375,1482,118.8,119.65,118.7
06/11/2021,118.7,1783,117.7,119.1,117.7
06/10/2021,117.575,850,117.5,117.875,117.325
06/09/2021,117.4,2090,117,117.5,116.425
06/08/2021,116.725,2958,116.7,117.1,116.05
06/07/2021,116.225,4788,116.7,116.45,116
06/04/2021,116.825,4577,116.775,117.25,116.35
06/03/2021,116.775,4540,117.05,117.075,116.7
06/02/2021,117.125,9342,115.125,117.375,114.7
06/01/2021,113.55,13989,112.95,114.85,112.4
05/31/2021,115.875,N/A,115.875,115.875,115.875
